"title","course_description","expected_hours","Skills"
"creative thinking techniques tools success","",21,"V349"
"upper intermediate english business technology"," course fourth series four english language moocs designed students intermediate level english looking reach higher intermediate level course comprised video lessons reading comprehension activities grammar explanations exercises listening comprehension activities speaking practice course covers interesting topics cultural differences aviation global warming historical monuments technological innovation course also includes preparatory materials recommendations take cambridge university first certificate english examination fce ",16,"video, materials, V349, innovation"
"shakespeare s hamlet ghost"," first act william shakespeareâ s hamlet ghost dead king denmark appears son setting chain events culminates playâ s notoriously bloody finale mysterious figure understood shakespeareâ s time harvard professor stephen greenblatt guides learners exploration ghostâ s uncanny theatrical power historical contexts character emerged will introduced narrative sources hamlet religious convictions shaped renaissance england understood afterlife ghost thrilled challenged original audience focusing ghost will see play grapples issues like death mourning remembrance power theatre short video lectures readings play well later works coleridge joyce conversations experts will develop critical tools unlock play s possible meanings re reading hamlet first time course great introduction re reading hundredth time perfect chance revisit refresh take shakespeare s greatest tragedy ",24,"video, V349, act, develop, s, tools"
"flashdiet aprende comer sano","centenares de estudios cientã ficos corroboran que llevar una alimentaciã³n equilibrada es uno de los pilares para mantener un estado ã³ptimo de salud y alargar nuestra vida manteniã ndonos alejados de enfermedades transmisibles como los accidentes cardiovasculares la diabetes o la obesidad â estã s interesado en aprender comer de forma equilibrada y llevar una vida sana en este curso aprenderã s las bases de la nutriciã³n humana y la alimentaciã³n sana como herramientas para llevar una vida saludable ",12.5,"V349, s"
"cs50 s understanding technology","",24,"V349"
"introduction aerospace structures materials"," design aircraft spacecraft keep risk failure minimal bearing mind will eventually fail course will taken journey structural material design aircraft will see understand aircraft spacecraft manufactured learn safety enshrined every stage experts aerospace structures materials department delft university technology will help explore analyze mechanical properties materials learning manufacturing techniques fatigue loads stresses design considerations scientific engineering principles structural materials engineers face daily basis end course will learned think like join us exciting learning experience includes experiments can home online lectures quizzes design assignments ",40,"engineering, engineers, design, can, aerospace, materials, V349, risk, end, mechanical, scientific, technology"
"visualizing data python"," course picture worth thousand words familiar expression especially applies trying explain insights obtained analysis increasingly large datasets data visualization plays essential role representation small large scale data one key skills data scientist ability tell compelling story visualizing data findings approachable stimulating way course will learn leverage software tool visualize data will also enable extract information better understand data make effective decisions sign course get free access ibm watson studio watson studio youâ ll able start creating data science projects collaborating data scientists start now take advantage everything platform offer ",15,"software, analysis, access, ibm, data, data science, V349, data visualization, visualization"
"success practical thinking skills"," award winning mooc expanded updatedversion 1 0 course scooped praises received prestigious prize top ten popular moocs november 2017 awarded class central usa version 2 0 continues receive acclaims authentic global learners 2019 section creative thinking skills expanded current version 2 1 specific case study apply innovative strategies addressing challenge posed covid 19 swept world 2020 positive values powerful skills successthis course consists three parts twelve units abundant case studies examples will learn key success work personal life lies mastery positive values practical thinking skills positive values three great mastersin part will inspired insights aristotle kant mill advices cover topics personal success pursuit duty contribution social happiness will learn wisdom construct positive outlook life meaningful purposes resilience challenges will consolidate knowledge two major case studies part learn excel job interview study higher education addition turn study great mastersâ ideas fun comic episodes presented perusal reflections powerful problem solving skillsin part b will study bundle effective problem solving skills decision making strategies include five faces creativity ten methods provocative operations six thinking hats successful work life creative thinking skills proven powerful adopted creative geniuses innovative managers corporate businesses around world success stories micro movie life deathin part b eye opening success stories bruce lee nick vujicic jack ma steve jobs will heighten personal motivation strive success work life hand major case study micro movie filmed course featuring local tv actors micro movie raises question make life death decision family member guidance will provided apply problem solving skills life death decision unique creative successpart c brief conclusion highlights next step upgrading creative problem solving skills securing unique creativity accordance personal traits potentials talents timely course thinking challenge posed pandemic covid 19the wide applicability practical thinking skills course helps creatively address different sorts challenges including one brought pandemic covid 19 doctors provide medical treatment selected patients likely survive shortage resources regard type question can spell position proper justification will find discussion pros directly unit 3 cons indirectly unit 2 addition can tell individuals businesses creatively meet specific challenge pandemic will find creative problem solving skills expanded discussed unit 6 case study specifically devoted challenge covid 19 course instructorcurrently interim director general education centre hong kong polytechnic university jack chun chief examiner hkeaa consultant thinking skills hksar government commercial sectors smartone vodafone professional groups including medical doctors c e o s former chief executive hksar government dr chun also provided consultancy services universities including cornell vinuniversity project 2019 taught creativity creative thinking life death two decades apart three moocs developed edx also created mobile app ethical thinking adopted four faculties university publishers writings include oxford university press routledge mcgraw hill springer others ",20,"excel, c, project, outlook, e, mobile, can, micro, V349, case, operations, consultant, director, 3, education, creativity, 2, government, next, s, 1, medical, higher education"
"english business asia â speaking"," use english business multinational settings fact life many business people asian economies expand become involved global economy lingua franca â language used communicate among groups people share mother tongue â needed exchange information course two goals first introduce non native speakers english methods developing spoken english language communication skills business asia second examine impact interculturality globalization english communications exploring participating business simulation set asia will develop principal skills effective communication english conducting business china asian countries course part series developed instructors enroll eba102x english business asia â writing continue developing english language written communication skills learn business writing format audience culture purpose grammar style ",24.5,"communication, exchange, V349, simulation, business, develop, impact"
"nutrition health macronutrients overnutrition"," overload information nutrition health truth can improve health patients learn nutrition diet profoundly impacts current future health course addresses relationship nutrition human health focus health problems related overnutrition course professor sander kersten wageningen university research will explain composition three macronutrients carbohydrates fat protein will learn role body absorbed stored metabolized energy impact health moreover course will cover energy homeostasis regulation body weight will learn overweight obesity strategies improve combat problems overnutrition finally course will make familiar nutritional research research methodologies course especially useful health care professionals people working food industry non nutrition background will develop critical mindset learning better weigh interpret information food nutrition health course part food nutrition health professional certificate program wageningen university research already complete nutrition health micronutrients malnutrition course food nutrition health professional certificate program explore learning opportunities nutrition look courses ",63,"research, can, V349, health care, develop, focus, impact, energy"
"contemporary china people s republic taiwan hong kong","using case studies harvard business school course will cover contemporary chinese scene focusing five main themes chinaâ s development agriculture entrepreneurship education environment literature youâ ll examine period deng xiaopingâ s rise 1978 present using lenses sociology political science economics youâ ll learn china maintained one party rule era reform internationalization contemporary developments â like current conception â chinese dreamâ â influenced legacies chinaâ s past youâ ll also examine greater china focus taiwan model taiwanâ s relationship peopleâ s republic china developing approaches history youâ ll gain critical appreciation chinaâ s literary philosophical political cultural resources enroll now understand chinaâ s global leadership role learn 21st century truly â chinese century â ",30,"development, leadership, V349, case, education, business, s, focus, economics"
"introduction clinical psychology"," ever wondered causes mental illness react stress way expect get older clinical psychology study psychological disorders treatments designed improve day day lives people suffering focus course will common psychological disorders schizophrenia symptoms will also discuss underlying role stress affects people mentally physically will also consider general issues theories around personality intelligence take course want better understand psychological disorders can treat ",10.5,"react, can, V349, focus"
"modern masterpieces world literature","based second half masterpieces world literature edx mooc short literature course examines writers reach beyond national linguistic boundaries worldly readers travelers modern fictions rise status world literature masterpieces modern world literature take part tradition weaving small stories ambitious projectsâ one reaches back medieval tales extends forward contemporary novels throughout course will learn writers use fictions engage directly political social concerns present globalized modernity relating experiences exploration migration international conflict cultural exchange ",36,"exchange, migration, V349, based"
"citizen politics america public opinion elections interest groups media","public opinion powerful yet inexact influence elected officials politicians risk careers ignore yet power easy capture quantify course will look political parties campaigns social movements special interests news media play role influencing public opinion weâ ll examine attributes public opinion polling attempts measure attributes impact decisions policymakers weâ ll address unique features two party system u s parties realign response shifting norms candidates vetted behind scenes start campaign outside formal organization party politics groups representing various interests aim affect change political system special interest groups resemble political parties parties try influence elections groups concentrate gaining influence policies meanwhile social movements take place outside established institutions often form protest demonstrations rallies interests filtered news media plays critical role shaping peopleâ s images politics course will help understand forces shape american politics â invisible primariesâ election day beyond ",12,"system, V349, policies, risk, s, impact"
"applied scrum agile project management","version 2 course series delivers beyond original agile certification includes updated content better audit verified learner experiences bonus videos key topics bonus video course â agile government â follow course series â advanced scrumâ expected end summer 2020 scrum agile often considered synonymous good reason scrum embodies simplest pure approach managing project work team level scrum employed half agile practitioners across industries agile may started software development many industries now use agile methodology deliver work basis agile agile manifesto extends well beyond origins extreme programming agile software development development teams around world now using kanban boards assigning strong product owners direct self organizing teams deliver prioritized product backlogs nearly every new product sort component goes agile development lifecycle mastering agile professional certificate program emphasizes principles heart agile frameworks course start learning key project management processes roles mechanics philosophies behind scrum will provide basis understanding agile purest form four weeks exploring finally scrum looks like applied real world understanding agile team members like scrum master product owner important differences lean agile processes course will make agile certified practitioner pmi acp certified scrum master csm offers fundamental agile certification based agile principles scaled agile applied industry today ll finish course ready begin agile journey hope takes next course series â sprint planning faster agile team delivery â upon successful completion course learners can earn 10 professional development unit pdu credits recognized project management institute pmi pdu credits essential looking maintain certification project management professional pmp ",10,"management, development, software, agile, project management, scrum, software development, project, pmp, lifecycle, video, programming, can, audit, V349, end, kanban, pmi, real, 10, 2, agile development, csm, government, next, delivery, frameworks, based"
"corporate finance","business organizations constantly engaged financial decision making related financial planning investments capital purchases etc right financial decisions play critical role maximizing organizationâ s business value corporate finance will address issues help managers make value enhancing decisions business management course will introduce role corporate finance organization tools used evaluate investment proposals course will cover commonly used tools techniques help managers make decisions create value organizations time value money opportunity cost net present value internal rate return interested creating value organization course ",20,"management, .net, finance, V349, net, etc., financial, etc, business, s, tools"
"judaism scriptures"," two millennia jews throughout entire world committed reading interpreting living scriptures jewish scriptures written relevant 21st century religion course introduces students diversity ever expanding jewish canon equally diverse ways reading will examine jews ancient modern drew inspiration guidance traditional texts simultaneously reinterpreting contents light new circumstances religion call â judaismâ emerges nexus text interpretation lived tradition whether long time student jewish scriptures complete newcomer course will give new understanding fascinating roles sacred texts played rich history judaism ",30,"V349, nexus"
"excel avanzado importaciã³n y anã lisis de datos","en este curso de anã lisis e interpretaciã³n de datos te presentaremos tã cnicas avanzadas de importaciã³n de datos y estrategias diversas para consolidarlos y prepararlos una vez importados de forma que puedas extraer las conclusiones que necesitas basadas en nuestra experiencia en el uso de microsoft excel y demostradas con casos reales te presentaremos tambiã n las nuevas herramientas y tã cnicas de modelo de datos e importaciã³n avanzada incorporados desde excel 2010 que permiten trabajar de forma mucho mã s cã³moda con grandes volã menes de datos repartidos en varias tablas y automatizar la importaciã³n para tener que repetir los pasos cada vez que actualices los datos veremos tambiã n las distintas opciones disponibles la hora de configurar tablas y grã ficos dinã micos en excel para que sean lo mã s versã tiles posibles y nos permitan analizar distintos escenarios de forma sencilla estas herramientas y tã cnicas de anã lisis de datos te permitirã n implementar inteligencia de negocios business intelligence en los diferentes proyectos de una organizaciã³n ",28,"excel, business intelligence, e, microsoft excel, microsoft, V349, business, s"
"css basics"," course part w3c s front end web developer professional certificate just begun journey web development course will introduce basics web design teach style web site professional look feel microsoft team experts world wide web consortium w3c will guide step step using latest web standards structure content presentation like professional course will explore numerous css features help control look feel site colors fonts layout end course understand fundamental elements css use effectively recommended least little familiar html taking course will providing html code necessary ",30,"development, html, css, web, design, developer, web development, microsoft, V349, web design, front, end, web developer, front end, s, presentation"
"unlocking information security part ","information security everywhere world becomes digitized becomes hackable cyber attacks data breaches even cyber warfare real infinitely important understand hackers think act can fight back course first part unlocking information security program will learn basic terminology concepts field information security will explore different types vulnerabilities famous examples design flaws implementation bugs social engineering will move discover art cryptography ancient times modern era learn famous ciphers can cracked can done thwart attacks next will learn important aspect cryptography involves secrets hash functions will understand can used can attacked will combine everything ve learned take critical view different authentication schemes passwords challenge response systems biometrics finally will learn critical vulnerability times buffer overflow course produced tel aviv university tau online learning innovation center ",30,"security, systems, engineering, design, information security, implementation, data, basic, can, cryptography, V349, vulnerability, authentication, real, act, innovation, next"
"becoming effective leader","strong leadership regarded one best predictors organizational success critical human capital required career progression almost every organization however leadership also highly complex often misunderstood phenomenon itâ s hard define know good bad leadership see course will equip aspiring leaders understanding leadership individual can develop skills required become effective leader organization taught instructors presenters decades business profit leadership experience will learn difference leadership management importance understanding others building empathy relationships gain better understanding different leadership styles may encounter throughout career learn series engaging videos interviews case studies written reflections peer feedback self insight activities instructors faculty will help identify values ethics leader importantly build self efficacy confidence belief ability achieve intended results ",90,"management, leadership, can, V349, case, build, business, organizational, develop, s"
"digital branding engagement","want learn get people engage brand sure begin digital technology rapidly evolved last decade way people communicate businesses can longer rely solely traditional business models build brand awareness todayâ s interconnected hyperaware world brand awareness brand engagement synonymous age digital brand engagement brands need participate inspire two way conversation consumers course will teach shift altered way brands communicate audiences will learn challenges managing digital brand rich compelling content combined digital distribution integral brand engagement course part curtinx micromasters credential marketing digital world specifically designed teach critical skills needed successful exciting field order qualify micromasters credential will need earn verified certificate five courses ",14,"can, V349, build, digital, business, distribution, s, technology"
"introduction cybersecurity"," course serves introduction exciting field cybersecurity daily lives become dependent internet based tools services platforms accumulate sensitive data demand grows experts field cybersecurity course will gain overview cybersecurity landscape well national usa international perspectives field will cover legal environment impacts cybersecurity well predominant threat actors end course will able ",21,"data, V349, cybersecurity, end, internet, threat, tools, based"
"general academic english|ç ÿæ è è è é "," essential ability academic researchers master academic skills join academic communications course encourages read write share ideas studying english academic purposes course divided 8 research topics involving life sciences art society engineering psychology economics management architecture course ï academic words analysis textsï learning strategiesï seminars academic reading writingï mini conferences academic topicsï simulation academic reportsï techniques academic writingthis course will help improve academic english skills besides students different disciplines sharing insights research hope get prepared join seminars mini conferences come join us journey academic english learn academic words different disciplinesread share academic paperswrite publish academic papers",28,"management, architecture, analysis, engineering, research, V349, simulation, 8, economics"
"gestiã³n de personas recursos humanos","la disposiciã³n al servicio se puede medir y predice la efectividad del servicio las personas mã s felices mã s positivas sobre ellas mismas y sobre su entorno son mã s felices en el trabajo y los empleados mã s satisfechos producen tambiã n clientes mã s satisfechos â benjamã n schneider y david e bawerâ pero â cã³mo lograr todo esto ese es nuestro desafã o en este mooc trabajaremos el factor clave para desarrollar experiencias memorables el factor humano en este curso de administraciã³n abordaremos reconoceremos las diferencias entre los modelos de control y participaciã³n aprendiendo la estrategia de dar poder de decisiã³n los colaboradores reconociendo cuã les son sus beneficios e implicancias por ã ltimo ponderaremos cã³mo afecta la satisfacciã³n y retenciã³n del cliente segã n las diferentes polã ticas de recursos humanos ",30,"e, V349, s"
" poverty prosperity understanding economic development"," can poor societies become prosperous overcome obstacles professor sir paul collier one world s leading scholars question economics course will opportunity learn directly course will discuss examine following topics enrol course understand factors influence economic development different development paths countries across world taken end course will able ",15,"development, can, V349, end, s, economics"
"medical terminology"," course credit eligible doane university s open learning academy open learning academy s 3 4 credit hour courses designed provide learners foundational coursework undergraduate level programs strongly encouraged consult institution choice determine credits will applied degree requirements prior transferring credit medicine distinct highly specialized language necessary student wishing pursue successful career medical field acquire comprehension system communication including allied healthcare professionals learners will receive thorough instruction developing fluency medical terms medical vocabulary will taught specific emphasis root stem words prefixes suffixes abbreviations end course learners will expected basic comprehension medical terms able communicate accurately peers field terms associated anatomy physiology pathology diagnostic tests different systems discussed previous knowledge topics necessary biol 210x medical terminology doanex credit eligible course learners opportunity experience rigorous university level course flexible schedule earn academic credit pass course c better credit details number credit hours biol 210x medical terminology 3 credit hours cost 500 usd pay credit earned passing course c better eligibility ",60,"systems, system, c, communication, healthcare, basic, degree, consult, V349, end, 3, requirements, s, 4, medical, root"
"ancient masterpieces world literature"," short literature course based first half masterpieces world literature edx mooc examines civilizations cultures ancient world defined literature literature continued contribute understanding civilizations cultures today cities nations empires antiquity middle ages drew foundational histories myths identities relating narratives generations means oral storytelling new writing technologies epics story collections novels take keen interest heroic travelers eventually travel finding new global audiences first works world literature tracing developments language writing literary genre course also travels time legendary accounts ancient kings histories medieval courts early modern exploration will stop consider texts affected history eras also continued find new prominence significance ",27,"V349, based"
"shakespeare s merchant venice shylock"," first act william shakespeareâ s merchant venice jewish moneylender shylock proposes â merry sportâ merchant antonio will lend antonio money needs antonio agrees let shylock take pound flesh default shylock calls contract â merry bond â shakespeareâ s first folio calls play comedy shylock want bond merry play ultimately prove course harvard professor stephen greenblatt guides learners depth exploration character shylock ll learn jewish history europe early audiences might responded play history playâ s production twenty first century short video lectures readings play explorations adaptations will develop critical tools unlock play s possible meanings re reading merchant venice first time course great introduction re reading hundredth time perfect chance renew understanding one shakespeareâ s polarizing plays ",24,"video, V349, production, act, develop, s, tools"
"gestiã³n del estrã s y mindfulness","en la actualidad las demandas del mundo laboral estã n saturando las personas con tal frecuencia que se vuelve una situaciã³n cotidiana generando condiciones de estrã s e inconformidad laboral las cuales pueden afectar las habilidades profesionales en adiciã³n la experiencia desagradable que conllevan las cargas de estrã s modifican nuestro cerebro contribuyen enfermedades del sistema inmunolã³gico y aumentan la insatisfacciã³n laboral independientemente de la preparaciã³n que se tenga pocas veces se enseã cã³mo manejar estas situaciones emocionalmente desafiantes en respuesta estas necesidades hemos creado este curso online que te permitirã ser consciente de tã cnicas para mantener tu salud reconocer cã³mo tu sistema de interpretaciã³n impacta el nivel de angustia y tomar beneficio de la inteligencia emocional este aprendizaje te permitirã ser consciente de tus necesidades internas y externas priorizarlas sin alarmarte y disfrutar mã s cada momento siendo mã s saludable al reducir los riesgos en el sistema inmunolã³gico nuestros expertos cuentan con amplia experiencia en tã cnicas avanzadas como hipnosis autohipnosis y liberaciã³n emocional con ellos desarrollarã s estrategias de toma de consciencia y mindfulness mã s allã de un curso de inteligencia emocional vivirã s una experiencia que modificarã tu estructura cerebral y cã³mo ves la vida para aumentar tu capacidad de disfrutarla y vivir el presente desarrollarã s habilidades personales y habilidades laborales de gran utilidad para tu dã dã ",18,"e, V349, s"
"behavioural economics action"," can get people save money eat healthy foods engage healthy behaviors make better choices general lot written fact human beings process information make decisions optimal fashion course builds much fascinating work area behavioral economics allows learners develop hands approach understanding methods importantly can harnessed suitably designing contexts â nudgeâ choice three modules learners will able explain interpret principles underlying decision making compare nudging approach methods behavior change b learn critique design interpret results experiments c design nudges decision tools help people make better decisions understanding experimental design interpretation central ability use behavioral economics effectively will set apart people merely know behavioral results first two weeks learning basic principles will devote two weeks studying experimental design analysis final two weeks understanding processes designing nudges helping people make better decisions will also witness participate weekly topical debates various topics like â irrationality impact welfare â â strategy better improving welfare â nudging education â several leading scholars policy makers business people authors commentators will briefly join debate discussion sections guest lecturers include professor sendhil mullainathan university chicago professor john lynch university colorado rory sutherland ogilvy group owain service formerly behavioural insights team uk cabinet office shankar vedantam npr columnist author â hidden brain professors andrew ching avi goldfarb university toronto nina mazar bostonu itamar simonson stanford many others course originally developed 2013 field changed past 7 years said course provides foundational content still relevant b material updated years capture newer developments course will conclude summary newest developments field will provide links resources learners access continued learning be101x will self paced format learners invited work materials assessments convenience content based work done university torontoâ s bear centre ",27,"analysis, c, access, design, basic, can, materials, V349, education, strategy, business, 7, develop, hands, s, impact, tools, economics, based"
"finance everyone smart tools decision making","want learn think clearly important financial decisions improve financial literacy finance everyone will showcase beauty power finance introductory finance course will gateway world finance will examine multiple applications apply everyday life join us better understand apply frameworks tools make smart financial choices will able value impact different choices available renting buying evaluating car home student loans deciding whether go college versus pursuing new idea simply understanding financial world works starting time value money course will help develop full appreciation many applications finance using real world examples course will enable understand analyze many personal professional decisions confront daily basis will understand stocks bonds learn allocate scarce resources value add way adopt smart tools making every day decisions finance simultaneously way thinking set tools finance everywhere prerequisites course except sense curiosity positive attitude however comfort level algebra numbers understanding accounting language business will clearly help will however try cover everything starting fundamentals highlight need work specific subjects ",33,"applications, finance, V349, go, financial, real, business, full, develop, impact, frameworks, tools, accounting"
"creating innovative business models"," course created guide aspiring active startup entrepreneurs corporate innovators feel itâ s common desire course will help course provides innovative model create value proposition team strategy market strategy financial strategy skills will equipped lead customer discovery customer validation understand business strategy customer segmentation create innovative products enter new markets design revenue models predictable revenue stream achieve sustainable competitive advantage ",10,"design, validation, V349, lead, financial, strategy, business, s"
"u lab leading emerging future"," past year witnessed unprecedented disruption climate strikes covid 19 pandemic global protests racial injustice point pressing need societal renewal catalyze renewal need learn past future wanting born activate capacity lean emerging future may well important leadership challenge time cultivate curiosity compassion courage face prejudice anger fear step action well course introduction method called theory u developed mit leading change business government civil society contexts worldwide u lab will guide applying theory u issue matters building capacity lead transformative change process will fellow change makers locally around world join us co pioneer new approaches todayâ s important social environmental challenges note translations available videos languages hope complete translations future looking volunteers help task please contact sarina atbouwhuis presencing com willing volunteer ",70,"leadership, com, V349, lead, environmental, civil, business, government, s"
"electric cars â introduction","electric vehicles future transportation electric mobility become essential part energy transition will imply significant changes vehicle manufacturers governments companies individuals interested learning electric vehicle technology can work business create societal impact course experts tu delft together knowledge institutes companies netherlands will prepare upcoming developments amid transition electric vehicles ll explore important aspects new market including state art technology electric vehicles charging infrastructure profitable business models electric mobility effective policies governmental bodies will accelerate uptake electric mobility course includes video lectures presentations exercises reinforced real world case studies projects implemented netherlands production course possible without contributions dutch innovation centre electric road transport d incert taught experts industry academia share knowledge insights ",18,"infrastructure, video, can, V349, policies, case, production, real, business, innovation, technology, impact, presentations, energy"
"inteligencia artificial para todos domina los fundamentos","en este curso aprenderã s quã es la inteligencia artificial ia y comprenderã s sus aplicaciones y casos de uso y cã³mo estã transformando nuestras vidas este curso en lã nea explorarã conceptos bã sicos de inteligencia artificial que incluyen aprendizaje automã tico aprendizaje profundo y redes neuronales asã como casos de uso y aplicaciones de inteligencia artificial estarã s expuesto temas relacionados con la ia incluida la ã tica el sesgo el empleo y los impactos en la sociedad echarã s un vistazo al futuro con ia recibirã s consejos para comenzar una carrera relacionada con la ia y concluirã s el curso implementando la ia en acciã³n con un mini proyecto este curso de ia para todos requiere ninguna experiencia en programaciã³n o ciencias de la computaciã³n y estã diseã ado para presentar los conceptos bã sicos de ia cualquier persona ya sea que tenga conocimientos tã cnicos o ",6,"V349, s"
"marketing analytics","marketers want understand forecast customers purchase products services respond marketing initiatives learn analytics help businesses drive marketing maximize effectiveness optimize return investment roi course part business analytics micromasters program discover develop quantitative models leverage business data statistical computation machine learning forecast sales marketing impact will learn use probabilistic models optimization tools model customer demand forecasts pricing sensitivity lifetime value leverage data make optimal decisions designing new products marketing segmentation strategy skills acquired course ",108,"sales, analytics, data, V349, optimization, strategy, business, develop, impact, machine learning, tools"
"introducciã³n la regulaciã³n emocional basada en mindfulness","",22,"V349"
"design thinking fundamentals"," course provides introduction foundational activities related design thinking flexible yet systematic process define solve problems common misconception design thinking requires artistry centered artistic principles design thinking strategy mindset can applied industry solve problems part design thinking micromasters program course will explore methods used evaluate problems develop ideas create innovative solutions user mind focusing importance user understanding development desirable feasible viable ideas course will provide overview design thinking process end end ",60,"development, design, can, V349, end, strategy, develop, solutions"
"basic spanish 3 getting ","â bienvenidos y bienvenidas welcome spanish course will learn basic vocabulary talk everyday life present future past simple brief communication situations will learn expressions time express things will happen future vocabulary related shopping list express opinion talking health experiences activities happened past end course will able communicate everyday situations according a2 proficiency level elementary described common european framework reference languages â â cefrl council europe course designed english speakers offers variety exercises going stages content presentation comprehension production videos small texts audios improve pronunciation glossaries activities oral practice course students quizzes grammar cards recommendations external internet resources continue learning spanish topics activities revolve work life family life city life outdoor life can see bit everything able talk engage everyday communication hope like menu â buen provecho bon appã tit basic vocabulary able use understand information related basic grammatical structures articles nouns adjectives present future past tenses regular irregular verbs ",14,"communication, basic, can, V349, framework, production, end, internet, spanish, presentation"
"mi propia huerta orgã nica","en el curso mi propia huerta aprenderemos aprovechar mejor el agua evitar inundaciones amortiguar el impacto de las altas temperaturas y construir un refugio natural para la flora y fauna autã³ctonas travã s de la producciã³n de alimentos agroecolã³gicos en nuestra casa podemos ser responsables del sustento propio este curso estã organizado en tres mã³dulos se exponen ideas bã sicas sobre las caracterã sticas de las huertas lo que se puede sembrar de los sustratos y las herramientas con las que se debe trabajar conceptos bã sicos sobre herramientas suelos riego plantas una huerta es cualquier espacio ã rea lugar al que vamos destinar para el cultivo de diferentes plantas hortalizas que son las tã picas que se cultivan en una huerta aromã ticas algunas medicinales que vamos dedicar al consumo personal y que vamos empezar caracterizar dependiendo de los usos los que se las va destinar lo interesante es que todas estas plantas que se cultivan en la huerta son plantas que tienen raã ces tallos y hojas y de ã stas diferentes plantas vamos aprovechar nutrientes que nos ofrecen para alimentarnos y de poco vamos ir aprendiendo que esas partes tambiã n nos sirven para multiplicar las especies de estacas como por ejemplo en el romero de poco capã tulo capã tulo en este curso vamos ir tratando de desarrollar tã cnicas bã sicas para que todos podamos tener nuestra huerta ya sea en un balcã³n en una maceta o en cualquier ã rea que destinemos tal fin el curso mi propia huerta aprenderemos aprovechar mejor el agua evitar inundaciones amortiguar el impacto de las altas temperaturas y construir un refugio natural para la flora y fauna autã³ctonas travã s de la producciã³n de alimentos agroecolã³gicos en nuestra casa podemos ser responsables del sustento propio â sã³lo es cuestiã³n de animarse y comenzar ",6,"V349, s"
"sustainability architecture interdisciplinary introduction"," course offers interdisciplinary approach sustainabilityin architecture learners will introducedto basic elements sustainability assessments first model layer well trends informing space today coursework enables students develop conceptual neighborhood model assessing performance urban policies first week participants willlearn todevelop conceptual model architectural elements buildings basic building blockof will theperformance materials second weekexploresmethods optimizing performance coursework willdetail needs constraints inherent selecting materials neighborhood urban elements second model layer green blue grey infrastructure third week learners will developthe basic tools introducing energy measuring potential impact climate change co2 new layer third neighborhood stainability model will approached global perspective fourth finalweek course will explore techniques joint assessment directly connected policy issues ",14,"architecture, infrastructure, performance, basic, materials, V349, policies, develop, impact, tools, energy"
"gestiã³n de riesgos en proyectos de desarrollo","es usual ver equipos de proyectos invirtiendo gran parte de su tiempo en resolver problemas en lugar de prevenirlos la gestiã³n de riesgos de proyectos busca gestionar anticipadamente los eventos positivos y negativos que pueden afectar un proyecto con el fin de incrementar su probabilidad de ã xito â quã podrã s hacer al final de este curso â quiã n estã dirigido este curso al tomar este curso tendrã s la oportunidad de compartir tu conocimiento y experiencia con otros participantes ademã s contarã s con un caso de estudio con el cual podrã s aplicar las buenas prã cticas de gestiã³n de riesgos en un proyecto y realizarã s ejercicios prã cticos que te ayudarã n comprender conceptos clave el contenido presentado en el curso estã basado en la metodologã de gestiã³n de riesgos del banco interamericano de desarrollo la cual se encuentra alineada con la guã de los fundamentos para la direcciã³n de proyectos sexta ediciã³n 2017 del project managementinstitute pmi â el indes como registered education provider r e p ha sido aprobado por el project managementinstitute pmi â para otorgar 30 unidades de desarrollo profesional pdus si obtienes el certificado de este curso por ã ltimo la modalidad de este curso es tu propio ritmo self paced esto significa que si escoges pagar por el certificado verificado tendrã s la flexibilidad de tomar el curso durante un mã ximo aproximado de tres meses del 06 de febrero de 2020 al 20 de mayo de 2020 21 de mayo de 2020 al 16 de septiembre de 2020 o del 17 de septiembre de 2020 al 17 de diciembre de 2020 los estudiantes que obtienen el certificado en este curso tambiã n recibirã n esta insignia digital las insignias digitales permiten compartir mã s fã cilmente y de forma mã s confiable las habilidades o el conocimiento adquirido para mã s informaciones sobre las insignias digitales visitar https cursos iadb org es indes credenciales digitales competencias que adquirirã s ",25,"project, r, e, V349, education, pmi, digital, https, s"
"python data structures"," course will introduce core data structures python programming language will move past basics procedural programming explore can use python built data structures lists dictionaries tuples perform increasingly complex data analysis course will cover chapters 6 10 textbook python everybody course covers python 3 ",21,"python, analysis, data analysis, data, programming, can, V349, data structures, 3, 10"
